slug,subject,daimon,full_marks,jev_seq_without_score,jev_seq_without_rate,luna_seq_without_score,luna_seq_without_rate,terra_seq_without_score,terra_seq_without_rate,sol_seq_without_score,sol_seq_without_rate,low_luna_seq_without_score,low_luna_seq_without_rate
butsuri,物理,1,25,20,0.8,5,0.2,0,0.0,10,0.4,0,0.0
butsuri,物理,2,25,10,0.4,5,0.2,15,0.6,15,0.6,15,0.6
butsuri,物理,3,25,12,0.48,9,0.36,9,0.36,4,0.16,16,0.64
butsuri,物理,4,25,15,0.6,5,0.2,5,0.2,5,0.2,20,0.8
butsuri-kiso,物理基礎,1,16,12,0.75,4,0.25,0,0.0,16,1.0,12,0.75
butsuri-kiso,物理基礎,2,16,16,1.0,8,0.5,4,0.25,8,0.5,8,0.5
butsuri-kiso,物理基礎,3,18,18,1.0,9,0.5,3,0.167,12,0.667,15,0.833
chigaku,地学,1,18,15,0.833,11,0.611,15,0.833,18,1.0,12,0.667
chigaku,地学,2,15,7,0.467,4,0.267,11,0.733,7,0.467,7,0.467
chigaku,地学,3,28,21,0.75,10,0.357,14,0.5,17,0.607,17,0.607
chigaku,地学,4,21,14,0.667,4,0.19,7,0.333,10,0.476,10,0.476
chigaku,地学,5,18,14,0.778,7,0.389,0,0.0,18,1.0,15,0.833
chigaku-kiso,地学基礎,1,20,17,0.85,9,0.45,7,0.35,20,1.0,10,0.5
chigaku-kiso,地学基礎,2,10,6,0.6,3,0.3,3,0.3,6,0.6,3,0.3
chigaku-kiso,地学基礎,3,10,4,0.4,4,0.4,3,0.3,7,0.7,4,0.4
chigaku-kiso,地学基礎,4,10,10,1.0,3,0.3,4,0.4,10,1.0,6,0.6
jouhou1,情報I,1,20,4,0.2,4,0.2,2,0.1,8,0.4,14,0.7
jouhou1,情報I,2,30,18,0.6,16,0.533,16,0.533,17,0.567,20,0.667
jouhou1,情報I,3,25,14,0.56,9,0.36,13,0.52,17,0.68,15,0.6
jouhou1,情報I,4,25,8,0.32,7,0.28,12,0.48,12,0.48,13,0.52
kagaku,化学,1,20,6,0.3,7,0.35,4,0.2,13,0.65,13,0.65
kagaku,化学,2,20,16,0.8,3,0.15,3,0.15,13,0.65,20,1.0
kagaku,化学,3,20,16,0.8,12,0.6,9,0.45,6,0.3,16,0.8
kagaku,化学,4,20,11,0.55,5,0.25,8,0.4,6,0.3,13,0.65
kagaku,化学,5,20,16,0.8,6,0.3,0,0.0,6,0.3,9,0.45
kagaku-kiso,化学基礎,1,30,18,0.6,18,0.6,27,0.9,27,0.9,30,1.0
kagaku-kiso,化学基礎,2,20,12,0.6,7,0.35,4,0.2,13,0.65,9,0.45
kokugo,国語,1,45,7,0.156,14,0.311,14,0.311,23,0.511,23,0.511
kokugo,国語,2,45,13,0.289,14,0.311,7,0.156,20,0.444,14,0.311
kokugo,国語,3,20,5,0.25,8,0.4,4,0.2,4,0.2,11,0.55
kokugo,国語,4,45,13,0.289,15,0.333,7,0.156,10,0.222,5,0.111
kokugo,国語,5,45,18,0.4,23,0.511,9,0.2,35,0.778,19,0.422
koukyou,公共,1,12,12,1.0,9,0.75,12,1.0,12,1.0,12,1.0
koukyou,公共,2,13,13,1.0,7,0.538,10,0.769,9,0.692,10,0.769
koukyou,公共,3,12,9,0.75,9,0.75,12,1.0,12,1.0,9,0.75
koukyou,公共,4,13,6,0.462,9,0.692,9,0.692,9,0.692,9,0.692
koukyou-keizai,公共政経,1,12,12,1.0,9,0.75,9,0.75,12,1.0,9,0.75
koukyou-keizai,公共政経,2,13,6,0.462,9,0.692,9,0.692,13,1.0,13,1.0
koukyou-keizai,公共政経,3,19,19,1.0,9,0.474,12,0.632,16,0.842,15,0.789
koukyou-keizai,公共政経,4,19,19,1.0,9,0.474,13,0.684,19,1.0,16,0.842
koukyou-keizai,公共政経,5,18,18,1.0,12,0.667,6,0.333,12,0.667,12,0.667
koukyou-keizai,公共政経,6,19,12,0.632,9,0.474,6,0.316,9,0.474,9,0.474
koukyou-rinri,公共倫理,1,12,12,1.0,9,0.75,9,0.75,12,1.0,9,0.75
koukyou-rinri,公共倫理,2,13,6,0.462,9,0.692,3,0.231,9,0.692,13,1.0
koukyou-rinri,公共倫理,3,28,25,0.893,12,0.429,16,0.571,25,0.893,19,0.679
koukyou-rinri,公共倫理,4,15,6,0.4,9,0.6,3,0.2,9,0.6,6,0.4
koukyou-rinri,公共倫理,5,16,8,0.5,8,0.5,12,0.75,12,0.75,16,1.0
koukyou-rinri,公共倫理,6,16,10,0.625,9,0.562,13,0.812,16,1.0,16,1.0
listening,英語L,1,28,22,0.786,18,0.643,11,0.393,15,0.536,15,0.536
listening,英語L,2,12,8,0.667,4,0.333,8,0.667,12,1.0,4,0.333
listening,英語L,3,18,18,1.0,15,0.833,12,0.667,18,1.0,12,0.667
listening,英語L,4,12,8,0.667,5,0.417,1,0.083,5,0.417,5,0.417
listening,英語L,5,16,12,0.75,12,0.75,12,0.75,5,0.312,14,0.875
listening,英語L,6,14,7,0.5,7,0.5,7,0.5,14,1.0,11,0.786
reading,英語R,1,6,4,0.667,4,0.667,2,0.333,4,0.667,4,0.667
reading,英語R,2,12,12,1.0,12,1.0,12,1.0,12,1.0,12,1.0
reading,英語R,3,9,6,0.667,9,1.0,3,0.333,9,1.0,9,1.0
reading,英語R,4,12,12,1.0,9,0.75,9,0.75,12,1.0,12,1.0
reading,英語R,5,16,14,0.875,16,1.0,16,1.0,16,1.0,16,1.0
reading,英語R,6,12,6,0.5,6,0.5,9,0.75,12,1.0,9,0.75
reading,英語R,7,16,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0
reading,英語R,8,17,13,0.765,13,0.765,17,1.0,17,1.0,17,1.0
rekishi,歴史総合,1,25,19,0.76,10,0.4,10,0.4,16,0.64,19,0.76
rekishi,歴史総合,2,25,21,0.84,15,0.6,15,0.6,18,0.72,15,0.6
rekishi-nihonshi,歴史日探,1,25,16,0.64,7,0.28,16,0.64,22,0.88,19,0.76
rekishi-nihonshi,歴史日探,2,15,15,1.0,12,0.8,9,0.6,12,0.8,15,1.0
rekishi-nihonshi,歴史日探,3,15,6,0.4,3,0.2,12,0.8,9,0.6,12,0.8
rekishi-nihonshi,歴史日探,4,15,9,0.6,6,0.4,3,0.2,12,0.8,12,0.8
rekishi-nihonshi,歴史日探,5,15,15,1.0,15,1.0,12,0.8,15,1.0,15,1.0
rekishi-nihonshi,歴史日探,6,15,3,0.2,3,0.2,6,0.4,15,1.0,9,0.6
