slug,subject,category,full_marks,test_mean,jev_score,jev_dev,luna_none_score,luna_none_dev,terra_none_score,terra_none_dev,sol_none_score,sol_none_dev,luna_low_score,luna_low_dev
kokugo,国語,国語,200,116.37,56,31.6,74,37.1,41,27.1,92,42.6,72,36.5
koukyou,公共,地理歴史・公民,50,29.27,40,61.9,34,55.3,43,65.3,42,64.2,40,61.9
koukyou-keizai,公共政経,地理歴史・公民,100,63.59,86,62.8,57,46.2,55,45.1,81,59.9,74,55.9
koukyou-rinri,公共倫理,地理歴史・公民,100,64.24,67,51.8,56,44.7,56,44.7,83,62.0,79,59.4
rekishi,歴史総合,地理歴史・公民,50,24.98,40,67.6,25,50.0,25,50.0,34,60.6,34,60.6
rekishi-nihonshi,歴史日探,地理歴史・公民,100,62.29,64,51.0,46,40.7,58,47.5,85,63.0,82,61.3
rekishi-sekaishi,歴史世探,地理歴史・公民,100,60.88,53,45.6,44,40.6,52,45.1,75,57.8,55,46.7
tiri,地理総合,地理歴史・公民,50,24.27,21,46.4,25,50.8,21,46.4,25,50.8,40,67.2
tiri-sougou,地理総探,地理歴史・公民,100,61.87,60,48.8,41,37.1,35,33.4,57,47.0,56,46.4
suugaku-1,数学I,数学,100,28.53,35,54.6,14,39.6,37,56.0,50,65.3,81,87.5
suugaku-1a,数学IA,数学,100,47.2,13,32.4,10,30.8,22,37.0,26,39.1,35,43.7
suugaku2bc,数学IIBC,数学,100,54.52,44,45.2,26,36.9,40,43.4,55,50.2,70,57.1
butsuri,物理,理科,100,45.55,57,55.7,24,39.4,29,41.8,34,44.3,51,52.7
butsuri-kiso,物理基礎,理科,50,34.68,46,60.1,21,37.9,7,25.4,36,51.2,35,50.3
chigaku,地学,理科,100,44.29,71,64.8,36,45.4,47,51.5,70,64.2,61,59.2
chigaku-kiso,地学基礎,理科,50,28.17,37,60.0,19,39.7,17,37.4,43,66.7,23,44.2
kagaku,化学,理科,100,56.86,65,53.5,33,39.7,24,35.8,44,44.4,71,56.1
kagaku-kiso,化学基礎,理科,50,28.58,30,51.3,25,46.6,31,52.3,40,60.8,39,59.8
seibutsu,生物,理科,100,55.01,71,58.3,35,39.6,42,43.2,75,60.4,80,63.0
seibutsu-kiso,生物基礎,理科,50,36.46,43,56.8,30,43.2,18,30.7,35,48.5,34,47.4
listening,英語L,外国語,100,54.65,75,61.1,61,53.5,51,48.0,69,57.8,61,53.5
reading,英語R,外国語,100,62.81,83,58.5,85,59.4,84,58.9,98,64.8,95,63.6
jouhou1,情報I,情報,100,56.59,44,42.0,36,36.9,43,41.4,54,48.4,62,53.4
